,starRating,balancedScore,logScore,biasScore,w_prior_logScore,w_prior_biasScore,elections_eval,mean_neg_logL,mean_neg_logL_pm,std_neg_logL_pm,mean_rmse,mean_rmse_pm,elections_eval_ΝΔ,mean_bias_ΝΔ,mean_bias_ΝΔ_pm,elections_eval_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ_pm,elections_eval_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,elections_eval_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ_pm,elections_eval_ΚΚΕ,mean_bias_ΚΚΕ,mean_bias_ΚΚΕ_pm,elections_eval_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ_pm,elections_eval_ΑΝΕΛ,mean_bias_ΑΝΕΛ,mean_bias_ΑΝΕΛ_pm,elections_eval_ΚΙΔΗΣΟ,mean_bias_ΚΙΔΗΣΟ,mean_bias_ΚΙΔΗΣΟ_pm,elections_eval_OTHER,mean_bias_OTHER,mean_bias_OTHER_pm,elections_eval_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,elections_eval_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,elections_eval_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25_pm,rms_mean_bias,rms_mean_bias_pm,std_rms_mean_bias_pm,elections_eval_ΝΙΚΗ,mean_bias_ΝΙΚΗ,mean_bias_ΝΙΚΗ_pm,elections_eval_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,elections_eval_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,elections_eval_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm
MRB,5,-1.18715927924635,-0.831781102284751,-1.54253745620796,0.147165190496375,0.0340300998119174,4,16.2934730510427,-0.580840988748566,0.304825053390098,0.0162122350318623,-0.0327838547771506,4,0.00731714169164007,-0.422970098342049,4,0.013278338880069,0.444654402224459,1,-0.00357195575951078,-0.484537787199341,4,-0.00225709681364364,0.118523208892288,4,-0.00548401614368036,0.19249579473833,1,0.0139648155489804,0.570625533020029,1,-0.00810298431520634,0.361217943517294,,,,4,-0.000932389905437973,-0.380117510058194,1,0.00115364134476934,0.0554000052912982,3,-0.00723221276862521,0.162397149744432,1,0.00522156110712258,1.27506969231014,0.0163062293610619,0.756447582453656,0.208850396897278,2,-0.00397259310311486,0.128547380669352,1,-0.0119382224796914,1.42633593149413,2,0.0030772057083555,0.115839429043435,1,-0.00434276676058054,-0.443098965197729
PRORATA,5,-1.17760713936979,-1.60427196165705,-0.75094231708254,0.0180415370996135,0.134400537065049,4,15.1897187241402,-0.802742756490226,0.0994651125478687,0.0336642226810324,0.252901303106728,4,-0.0264073604181873,-0.464133452456861,4,0.0416849721744191,-0.217883251318615,2,0.00511957452533884,1.16407339133837,4,-0.00928193819368052,0.155459339685959,4,0.00358029339016363,0.844202752955876,2,0.0174599455166767,0.725945932651805,2,-0.0162512231919206,-0.116193828559905,1,-0.00358601425687356,-0.514421049852006,4,-0.00373350695138399,0.430706921974637,1,0.00458077876139395,0.702584023067401,2,-0.00957052192672361,-1.0955144475971,1,-0.00148306653827711,-0.060928885993045,0.0504767029527992,1.08869064473129,0.438457500106343,,,,,,,,,,,,
PULSE RC,4,-0.791017128844067,-0.289491752402253,-1.29254250528588,0.393460812731458,0.0471769282140659,5,16.8400923579371,-0.438589796833081,0.660779993871767,0.0220280373593385,-0.401538885982617,5,-0.00835172645170266,-0.675811895204633,5,0.0357392894585178,0.382164059889219,1,0.000352812763608157,0.110691278733069,5,-0.00409761923921527,0.358281219415407,5,-0.00637835715255685,0.0130324205384235,1,0.0129270655476762,0.411166247367618,1,-0.0101995729111883,-0.558553825872525,,,,5,-0.00332924905445608,0.142573897358995,1,-0.00230216496097391,-0.597197873847638,4,-0.00741217325317266,-0.0175702718436424,1,-0.00214279665626285,-0.192390101486123,0.0376245394441653,0.866968095577976,0.276821102794505,2,-0.00523434374044554,0.347548460489792,1,-0.0148713233975536,0.859852085717274,2,0.00233932162649284,-0.162169062377135,1,-0.00342408242112804,-0.0435569908279579
ALCO,4,-0.452162743841557,0.362672234279286,-1.2669977219624,0.705129315545725,0.0230050971808787,4,16.918612985339,0.0411796670765341,1.13474729369242,0.0155341795131928,-0.275953145082015,4,0.00741135094513332,-0.232211445165779,4,0.0039257013702752,-0.478317166475767,1,0.00368524595289577,0.616086968404349,4,-0.00177572690008733,0.130788402076116,4,-0.00648057494523478,-0.218564280194351,1,0.00861887094599709,-0.250825207965507,1,-0.00762359678396674,0.571524876730937,,,,4,0.0099891817342658,0.674223417738405,1,0.00914308901978499,1.56413520249887,3,-0.00796947163700778,-0.0875034997794393,1,-0.0059735462443882,-0.955724961265032,0.0146722208082211,0.895635324634274,0.170746329920819,2,0.00219422569695323,0.440328843228113,1,-0.0228789441562586,-0.686698111478097,2,0.00174772083538894,-0.613534334271453,1,-0.00269324025965701,0.274291161803914
RASS,3,-0.351346888331145,-1.28482702285625,0.582133246193959,0.284544503251459,0.26992154235636,5,26.0657879406831,-0.887067014560415,0.517391588187682,0.0190767991069138,-0.877331346443876,5,0.00581832968334556,0.372803485169706,5,0.00514343994274774,-0.752682553739214,3,0.01027587262768,-0.146318295239661,5,0.00921106935752016,0.614179123088895,5,0.00955890621919676,1.47379327086246,2,0.00936151411198874,-0.461623967802927,2,-0.0145010970072321,0.607656770068475,1,0.00220282971494641,0.598581965797857,5,-0.01894022062201,-0.407526158931097,1,-0.00170114980366849,-0.483701577386798,3,-0.00701354876224877,0.358486050483362,1,-0.00411402089788237,-0.585186379460998,0.0243978765218535,1.84956038991672,0.756440030377489,1,-0.00587260486677411,-1.17060079812205,1,-0.0215193831562546,-0.424119575853816,1,0.00866756103301765,1.09102020722599,,,
PALMOS ANALYSIS,3,-0.226113225507836,-0.999539413579179,0.547312962563507,0.0954146382137561,0.237727238864015,2,15.5422382745306,-0.621923250237574,0.168518776574937,0.012350494302521,-0.399892412710156,2,-0.0110858622853302,0.36075246639798,2,0.020692324190092,-0.496400024584293,1,0.0045304384426645,0.744268575358927,2,0.0142063867390466,1.39851597815443,2,0.00268208699323868,0.148808984061613,1,-0.00491704330886901,-2.3307357982046,1,-0.0134911586995533,-2.00256992443615,,,,2,-0.00766619496269386,-0.969833056340338,1,-0.0072337580552646,-1.52848478907831,1,-0.00851371782878662,-0.960007708856267,,,,0.0286156283003163,1.81524723894037,0.439394650451334,1,-0.00040796946319336,0.871673242461881,1,-0.016095659393883,0.623390203516097,1,0.00675923338098298,0.12783454860479,,,
KAPA RESEARCH,3,-0.15011196241149,0.216303064711601,-0.516526989534581,0.756325418065646,0.340059423947614,2,15.8776547885399,-0.130593775263431,0.914144403145078,0.0393371229567805,0.526065009343075,2,-0.0218862362587281,0.351655017883846,2,0.0553243659538367,0.21312554991845,,,,2,-0.015490320371735,-0.245694743800791,2,0.00111773260613502,0.600836753683542,,,,,,,,,,2,-0.0148471893490731,-0.773080052758525,,,,2,-0.00371771090259832,0.225847261586602,1,-0.00150204412049492,-0.0647104566042071,0.0633660205716537,1.11315507314953,0.564801035466129,,,,,,,,,,,,
OPINION POLL,3,0.117807961680823,-0.402939501856867,0.638555425218512,0.412512195024845,0.0126864735981896,2,17.2110898029195,-0.51616851255359,0.434794998222734,0.0197314566573143,0.930097437420891,2,0.0274953262608618,0.616905247979408,2,0.0206482658224476,0.476278018773645,,,,2,-0.00595924710710805,-0.494447515312535,2,-0.00880185398268681,0.0882784694136164,,,,,,,,,,2,-0.00782882723976864,0.155239935681016,,,,2,-0.00455920262959019,1.39591804158643,,,,0.0381852872883995,1.79457421215229,0.0891894342533511,2,-0.0080009411060418,-0.554298920080619,1,-0.0301688384800176,-2.09463036047813,2,0.00408596804510793,0.284391321862147,1,-0.00607265329773821,-1.19543821036607
PUBLIC ISSUE,3,0.495463365761148,0.107925174075816,0.88300155744648,0.826172133132961,0.410309553310244,1,19.4117663750218,-0.342337538487909,0.799882405939462,0.0132485969067186,0.559131461494887,1,0.0187874882195905,0.556394303566592,1,-0.000989382642641257,-0.446234057673621,1,0.000145317538870093,0.656526627715356,1,0.00133156538669693,-0.936915966030826,1,0.00327399834762782,0.303009118926853,1,0.0180656738247144,0.475752622382671,1,-0.0268402360741783,-1.58646091935887,1,-0.000902573221385952,0.00151580720536335,1,-0.0128718513792943,-0.110579402163856,,,,,,,,,,0.0397457907201559,2.15981055417742,0.46408685044725,,,,,,,,,,,,
MARC,3,0.626007591047718,1.29575301997734,-0.0437378378819059,0.605573656164063,0.0921605994346793,5,18.5210563930185,0.829011317210147,1.0165672303298,0.0266125910107385,0.312599337395358,5,0.0119290164176556,1.02127722611143,5,0.0335620854733534,0.230979106733081,1,-0.00141753096920316,-0.157798452636662,5,-0.0136788229714824,-0.964323261745341,5,-0.00640634344360185,-0.0655732582010249,1,0.0178105901660359,1.1615621482406,1,-0.00843175867551103,0.216984890028885,,,,5,-0.0125583918504917,-0.359681996549622,1,0.0048997785528014,0.762824259035572,4,-0.00692680347326823,0.133447415008896,1,-0.00189774120763034,-0.143559092771848,0.0406765246067853,1.46967644884759,0.396377166409256,2,-0.00768219282693035,-0.477180185080853,1,-0.0225068017720225,-0.61482446822401,2,0.00775545427360907,0.995914817380833,1,-0.00418235957490183,-0.373336805425459
