,starRating,balancedScore,logScore,biasScore,w_prior_logScore,w_prior_biasScore,elections_eval,mean_neg_logL,mean_neg_logL_pm,std_neg_logL_pm,mean_rmse,mean_rmse_pm,elections_eval_ΝΔ,mean_bias_ΝΔ,mean_bias_ΝΔ_pm,mse_ΝΔ,mse_ΝΔ_pm,elections_eval_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ_pm,mse_ΣΥΡΙΖΑ,mse_ΣΥΡΙΖΑ_pm,elections_eval_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,mse_ΧΡΥΣΗ ΑΥΓΗ,mse_ΧΡΥΣΗ ΑΥΓΗ_pm,elections_eval_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ_pm,mse_ΠΑΣΟΚ,mse_ΠΑΣΟΚ_pm,elections_eval_ΚΚΕ,mean_bias_ΚΚΕ,mean_bias_ΚΚΕ_pm,mse_ΚΚΕ,mse_ΚΚΕ_pm,elections_eval_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ_pm,mse_ΠΟΤΑΜΙ,mse_ΠΟΤΑΜΙ_pm,elections_eval_ΑΝΕΛ,mean_bias_ΑΝΕΛ,mean_bias_ΑΝΕΛ_pm,mse_ΑΝΕΛ,mse_ΑΝΕΛ_pm,elections_eval_ΚΙΔΗΣΟ,mean_bias_ΚΙΔΗΣΟ,mean_bias_ΚΙΔΗΣΟ_pm,mse_ΚΙΔΗΣΟ,mse_ΚΙΔΗΣΟ_pm,elections_eval_OTHER,mean_bias_OTHER,mean_bias_OTHER_pm,mse_OTHER,mse_OTHER_pm,elections_eval_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,elections_eval_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,elections_eval_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25_pm,mse_ΜΕΡΑ 25,mse_ΜΕΡΑ 25_pm,rms_mean_bias,rms_mean_bias_pm,std_rms_mean_bias_pm,elections_eval_ΝΙΚΗ,mean_bias_ΝΙΚΗ,mean_bias_ΝΙΚΗ_pm,mse_ΝΙΚΗ,mse_ΝΙΚΗ_pm,elections_eval_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,mse_ΣΠΑΡΤΙΑΤΕΣ,mse_ΣΠΑΡΤΙΑΤΕΣ_pm,elections_eval_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,elections_eval_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm
MRB,5,-1.07980823603851,-0.770642018732251,-1.38897445334477,0.145029912466663,0.0276374633710402,4,16.3793095287911,-0.588566703206707,0.282370592514811,0.0162122350318623,-0.0224206555648707,4,0.00731714169164007,-0.402832389323164,0.00103204676757514,0.313572318518588,4,0.013278338880069,0.440288956893061,0.000653664737126077,0.0839015424408632,1,-0.00357195575951078,-0.484537787199341,1.27588679479022E-05,-0.376670971931051,4,-0.00225709681364364,0.106337564393194,2.04340102081251E-05,-0.612742986638348,4,-0.00548401614368036,0.180962739064242,8.64923319870156E-05,-0.56076925697046,1,0.0139648155489804,0.570625533020029,0.000195016073317044,0.477803366502905,1,-0.00810298431520634,0.361217943517294,6.56583548124799E-05,-0.468668048518176,,,,,,4,-0.000932389905437973,-0.369735480685054,0.000316898745814162,-0.659795630238847,1,0.00115364134476934,0.0554000052912982,1.33088835236122E-06,-1.01799550939017,3,-0.00723221276862521,0.126726038307568,5.96171406634554E-05,-0.330838181187199,1,0.00522156110712258,1.1948337812031,2.72647003954152E-05,-0.0834401446554414,0.0163062293610619,0.732726289727554,0.196593516608112,2,-0.00397259310311486,0.128547380669352,2.08754366179433E-05,-0.83917344222706,1,-0.0119382224796914,1.42633593149413,0.000142521155974609,-1.17305052138028,2,0.0030772057083555,0.115839429043435,2.92242710317979E-05,-0.105941871472147,1,-0.00434276676058054,-0.443098965197729,1.88596231368032E-05,0.250299499313833
PRORATA,5,-0.843905118081686,-1.10252974375577,-0.585280492407604,0.11215179304389,0.105695396229155,4,16.3767936900806,-0.712209122897184,0.243668776508081,0.0336642226810324,0.354271192656708,4,-0.0264073604181873,-0.310317973989075,0.00155289964901404,1.10998205745207,4,0.0416849721744191,-0.199715280338675,0.005652534570668,0.0725300955153103,2,0.00511957452533884,1.4355015530905,4.30980748210216E-05,-0.453296454161571,4,-0.00928193819368052,0.0856053012531883,0.00012600358567171,0.154695140225104,4,0.00358029339016363,0.994245342656419,1.4287198843624E-05,-0.547999220030036,2,0.0174599455166767,0.86648666230032,0.00031008117235942,1.00212532996673,2,-0.0162512231919206,-0.523890191255072,0.000313760061061203,0.469268125642066,1,-0.00358601425687356,-1.2782005310387,1.28594982505004E-05,-0.4492462004155,4,-0.00373350695138399,0.259676617099889,0.00098434948449486,-0.162850906219963,1,0.00458077876139395,0.702584023067401,2.09835340608379E-05,-0.289197122205318,2,-0.00957052192672361,-1.0431949380956,0.000106647756119883,1.19770172565633,1,-0.00148306653827711,-0.0650875416828135,2.19948635695725E-06,-0.975165247019221,0.0504767029527992,1.09520201453728,0.400884728735902,,,,,,,,,,,,,,,,,,,,
PULSE RC,4,-0.675769273240733,-0.22148181024766,-1.13005673623381,0.422338333682645,0.0429151933924508,5,17.3173420964627,-0.457790929076923,0.65541234337574,0.0220280373593385,-0.347349325359237,5,-0.00835172645170266,-0.653103598565513,0.0010903270894573,0.387038266610133,5,0.0357392894585178,0.394862553812004,0.00251865761231866,-0.203282108735001,1,0.000352812763608157,0.110691278733069,1.24476846164825E-07,-0.530882177017817,5,-0.00409761923921527,0.348739002772099,0.000102632352697712,-0.302731098362988,5,-0.00637835715255685,0.0578658386207461,9.18664796112821E-05,-0.379754825332362,1,0.0129270655476762,0.411166247367618,0.000167109023673916,0.19753024081439,1,-0.0101995729111883,-0.558553825872525,0.000104031287570646,0.467146415910935,,,,,,5,-0.00332924905445608,0.115675864410987,0.000252869638535299,-0.802079873131361,1,-0.00230216496097391,-0.597197873847638,5.29996350753602E-06,-0.87080639222926,4,-0.00741217325317266,0.00798141341486561,6.07364267285553E-05,-0.173699442328321,1,-0.00214279665626285,-0.189062814727335,4.59157751009123E-06,-0.890063730426582,0.0376245394441653,0.849004711296203,0.27607020816222,2,-0.00523434374044554,0.347548460489792,7.05468633183198E-05,0.128048634371342,1,-0.0148713233975536,0.859852085717274,0.000221156259594627,-0.815078162944176,2,0.00233932162649284,-0.162169062377135,2.35436879459667E-05,-0.388132874240149,1,-0.00342408242112804,-0.0435569908279579,1.17243404266781E-05,-0.457253896694151
ALCO,4,-0.3232017302425,0.437990340338888,-1.08439380082389,0.726893976134646,0.0202641796650555,4,17.0326049092358,0.0698140612285811,1.11850010233494,0.0155341795131928,-0.276209004728704,4,0.00741135094513332,-0.211374924083193,0.000568243028391722,-0.540890511293645,4,0.0039257013702752,-0.478148191047719,0.000524938908889718,-0.453406925763442,1,0.00368524595289577,0.616086968404349,1.35810377333346E-05,-0.366635839064219,4,-0.00177572690008733,0.117010048039781,9.55764633051365E-06,-0.65612110521746,4,-0.00648057494523478,-0.214375054182021,0.00010284423600874,-0.0852857457810203,1,0.00861887094599709,-0.250825207965507,7.42849363837527E-05,-0.734710802817547,1,-0.00762359678396674,0.571524876730937,5.81192279245079E-05,-0.652527438036146,,,,,,4,0.0099891817342658,0.670125757639578,0.000605606914671476,0.593573081450679,1,0.00914308901978499,1.56413520249887,8.35960768237129E-05,2.03272537413541,3,-0.00796947163700778,-0.119799872475407,7.40669101824658E-05,-0.236251777764171,1,-0.0059735462443882,-0.908930247190521,3.56832547338443E-05,0.216060039850169,0.0146722208082211,0.884319850157857,0.167704312486931,2,0.00219422569695323,0.440328843228113,6.00605855724238E-05,0.571772354313566,1,-0.0228789441562586,-0.686698111478097,0.000523446085705202,0.561042640646838,2,0.00174772083538894,-0.613534334271453,9.90471166618289E-06,-1.02077775228826,1,-0.00269324025965701,0.274291161803914,7.25354309623734E-06,-0.900589916096429
RASS,3,-0.197766164106947,-1.08441414700273,0.68888181878884,0.294458050783139,0.247000520954219,5,26.4525115680962,-0.857440895757173,0.495189509451751,0.0190767991069138,-0.812102931113082,5,0.00581832968334556,0.395808170274722,0.00038890901540183,-0.496918172426315,5,0.00514343994274774,-0.725894317587951,0.000503546112945955,-0.590334071041508,3,0.01027587262768,-0.0181108000351937,0.000267172648892906,0.0970145318240014,5,0.00921106935752016,0.58868507641217,0.000121832209900286,-0.389788259786258,5,0.00955890621919676,1.45939467512956,0.000126449025924124,1.63529049313795,2,0.00936151411198874,-0.285938785825227,0.000116991074041568,-0.613445058894284,2,-0.0145010970072321,0.524990956751286,0.000233346380122728,-0.580198076139912,1,0.00220282971494641,0.115027224962428,4.8524587530509E-06,-0.936683658739493,5,-0.01894022062201,-0.432683091552467,0.00244501301105489,-0.627437368020933,1,-0.00170114980366849,-0.483701577386798,2.89391065452133E-06,-0.960032416285771,3,-0.00701354876224877,0.308257909617006,9.61599793043037E-05,-0.223372410861608,1,-0.00411402089788237,-0.559491656649696,1.69251679482128E-05,-0.451281433212911,0.0243978765218535,1.82953115924956,0.74669082249667,1,-0.00587260486677411,-1.17060079812205,3.4487487921259E-05,1.26581143772467,1,-0.0215193831562546,-0.424119575853816,0.000463083851425695,0.286254278061065,1,0.00866756103301765,1.09102020722599,7.51266142610859E-05,1.37429399854998,,,,,
PALMOS ANALYSIS,3,-0.186280611347126,-1.05988144535287,0.687320222658617,0.0362488350672845,0.221165065764527,2,15.5096919123294,-0.648261326779933,0.0940190165738325,0.012350494302521,-0.399892412710156,2,-0.0110858622853302,0.36075246639798,0.000123172258984248,-0.662032934155548,2,0.020692324190092,-0.496400024584293,0.000502781087833991,-0.535337234943989,1,0.0045304384426645,0.744268575358927,2.05248724827723E-05,-0.281881685420289,2,0.0142063867390466,1.39851597815443,0.000309355026600939,2.13780585212927,2,0.00268208699323868,0.148808984061613,3.78074080196628E-05,0.089052471799741,1,-0.00491704330886901,-2.3307357982046,2.41773149012935E-05,-1.23794636061734,1,-0.0134911586995533,-2.00256992443615,0.000182011363056534,2.36887446565029,,,,,,2,-0.00766619496269386,-0.969833056340338,6.89130393695872E-05,-0.132268334222214,1,-0.0072337580552646,-1.52848478907831,5.23272556021055E-05,0.873152927070446,1,-0.00851371782878662,-0.960007708856267,7.24833912681992E-05,0.691999646048216,,,,,,0.0286156283003163,1.81524723894037,0.439394650451334,1,-0.00040796946319336,0.871673242461881,1.66439082898278E-07,-0.926310020067527,1,-0.016095659393883,0.623390203516097,0.000259070251323895,-0.642481441985598,1,0.00675923338098298,0.12783454860479,4.56872358985946E-05,-0.0269247637966253,,,,,
OPINION POLL,3,0.265462989822232,-0.285664695444702,0.816590675089167,0.445796169077471,0.0115647597266494,2,17.2110898029195,-0.51616851255359,0.434794998222734,0.0197314566573143,0.930097437420891,2,0.0274953262608618,0.616905247979408,0.00198601675023805,0.409602176126507,2,0.0206482658224476,0.476278018773645,0.000533953377742872,0.138830636550385,,,,,,2,-0.00595924710710805,-0.494447515312535,3.8257951633228E-05,-0.565241953085158,2,-0.00880185398268681,0.0882784694136164,0.000140140993030019,-0.431319237954226,,,,,,,,,,,,,,,,2,-0.00782882723976864,0.155239935681016,0.000346951935033908,0.203243338260991,,,,,,2,-0.00455920262959019,1.39591804158643,2.58323923704233E-05,-1.11197808068792,,,,,,0.0381852872883995,1.79457421215229,0.0891894342533511,2,-0.0080009411060418,-0.554298920080619,8.55429288874866E-05,0.512465838954437,1,-0.0301688384800176,-2.09463036047813,0.000910158815233394,2.32148373442864,2,0.00408596804510793,0.284391321862147,2.78549390986437E-05,-0.171517678039044,1,-0.00607265329773821,-1.19543821036607,3.68771180745308E-05,2.03696167496326
MARC,3,0.614893878553704,1.12446772543681,0.105320031670601,0.668221498727879,0.0816433576224126,5,18.9755942857805,0.819489991974018,1.08782050547496,0.0266125910107385,0.347671813916717,5,0.0119290164176556,1.00951051178054,0.00153761169745394,-0.0337324435109662,5,0.0335620854733534,0.248558577736815,0.00292620853647443,0.319139669040818,1,-0.00141753096920316,-0.157798452636662,2.00939404865006E-06,-0.507875500167038,5,-0.0136788229714824,-0.931080527642799,0.000347572568303125,0.77910316939062,5,-0.00640634344360185,-0.0258617731247511,8.75263507853646E-05,-0.327183588066715,1,0.0178105901660359,1.1615621482406,0.000317217122062494,1.70507999847522,1,-0.00843175867551103,0.216984890028885,7.10945543620556E-05,-0.33609350171257,,,,,,5,-0.0125583918504917,-0.420884937997224,0.000851374044067283,-0.0327806076524798,1,0.0048997785528014,0.762824259035572,2.40078298664926E-05,-0.177044186757018,4,-0.00692680347326823,0.169039918845613,6.54676210271148E-05,-0.44590657010165,1,-0.00189774120763034,-0.143012444542599,3.60142169113825E-06,-0.925289713243134,0.0406765246067853,1.45794950230097,0.388726331176621,2,-0.00768219282693035,-0.477180185080853,8.05589602604875E-05,0.381741003731288,1,-0.0225068017720225,-0.61482446822401,0.000506556126005115,0.484154095590077,2,0.00775545427360907,0.995914817380833,6.01485673996519E-05,0.873774058592263,1,-0.00418235957490183,-0.373336805425459,1.74921316137731E-05,0.114695444024042
INTERVIEW,2,0.68759893928904,1.87447246991596,-0.499274591337876,0.611441256551565,0.168942709253115,4,23.804648912216,1.41274021355131,0.860033086724898,0.0299569874956329,0.391834514694153,4,-1.80044114565549E-05,0.0978493984137088,0.000486088288456089,-0.836725511174751,4,0.0398113654858921,0.728619500065785,0.00478782331881678,1.61427085896446,1,-0.0167038684863125,-2.47611922703123,0.000279019222408023,2.87321497805179,4,-0.013622899083505,-0.296432058588953,0.000211227953719131,-0.0339843456316847,4,-0.0131456582682999,-0.769346521037711,0.000261821685192321,0.719362135697479,1,0.00693203117096663,-0.510022765371805,4.8053056155253E-05,-0.998160044437357,1,-0.0104392060544565,-0.663680697501333,0.000108977023047401,0.587759839585263,,,,,,4,-0.00296340913640842,-0.176466420992241,0.00143144831347404,0.689854109290686,1,0.0080760151480802,1.36262791767165,6.52220206720209E-05,1.35134218084753,3,-0.00766518407040414,0.115923627512622,0.00010531213218821,0.430960618132472,1,-0.00788944493291965,-1.26896241270924,6.22433413495715E-05,1.16096703006621,0.0441827868119039,1.11864530266567,0.525761106243246,1,0.00376052728705917,1.12469512981907,1.41415654767166E-05,-1.30189160001037,,,,,,1,-0.00722308186785877,-1.59937847342704,5.21729116697902E-05,0.802143289057011,1,0.00179660418136152,2.22695459094952,3.2277865844857E-06,-1.29979451766732
METRON ANALYSIS,2,0.765956780919219,0.858969291472746,0.672944270365691,0.628236814618068,0.210592937339599,5,18.6781859491506,0.449349785016181,0.996436529287699,0.0252041117409355,0.269840994129647,5,-0.0148180576841766,-1.068574716124,0.000905292189761729,0.3206798056848,5,0.0277130662021,-0.368627702047501,0.00218591061639819,-0.294359908141745,1,-0.00125680476200724,-0.133422770448897,1.57955820980406E-06,-0.513121934456128,5,-0.009988867711969,-0.351522496251667,0.000194800651092732,0.0938553253854429,5,-0.0105453668202565,-0.88680113763967,0.000293183029543407,0.300624107226684,1,0.0161649086286758,0.908688910920433,0.000261304270973437,1.14354197344986,1,-0.00793538701305223,0.434742748260899,6.2970367046918E-05,-0.534220969559531,,,,,,5,0.0183749153426806,1.02839846959591,0.00137014694042948,0.544213416515826,1,-0.00416506701937628,-0.948990140195584,1.7347783275896E-05,-0.424025243954281,4,-0.00926444696601275,-0.781816966368065,0.000136633103059537,1.00190201436801,1,0.0091854118388098,1.9397133362991,8.43717906485472E-05,1.94821319864091,0.0391944973847761,1.80147884861675,0.673380621296416,2,-0.0034590610417737,0.250882300555612,1.69999496210875E-05,-0.938225810727235,1,-0.0172494699281569,0.400549242002342,0.000297544212802389,-0.467335558088904,2,0.00757750611296082,0.76695552653707,5.87026806216644E-05,0.693265931521739,1,-0.00434901135451021,-0.445814780936227,1.89138997616587E-05,0.255681712156763
