,starRating,balancedScore,logScore,biasScore,w_prior_logScore,w_prior_biasScore,elections_eval,mean_neg_logL,mean_neg_logL_pm,std_neg_logL_pm,mean_rmse,mean_rmse_pm,elections_eval_ΝΔ,mean_bias_ΝΔ,std_bias_ΝΔ,mean_bias_ΝΔ_pm,std_bias_ΝΔ_pm,mse_ΝΔ,mse_ΝΔ_pm,elections_eval_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ,std_bias_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ_pm,std_bias_ΣΥΡΙΖΑ_pm,mse_ΣΥΡΙΖΑ,mse_ΣΥΡΙΖΑ_pm,elections_eval_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ,std_bias_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,std_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,mse_ΧΡΥΣΗ ΑΥΓΗ,mse_ΧΡΥΣΗ ΑΥΓΗ_pm,elections_eval_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ,std_bias_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ_pm,std_bias_ΠΑΣΟΚ_pm,mse_ΠΑΣΟΚ,mse_ΠΑΣΟΚ_pm,elections_eval_ΚΚΕ,mean_bias_ΚΚΕ,std_bias_ΚΚΕ,mean_bias_ΚΚΕ_pm,std_bias_ΚΚΕ_pm,mse_ΚΚΕ,mse_ΚΚΕ_pm,elections_eval_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ,std_bias_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ_pm,std_bias_ΠΟΤΑΜΙ_pm,mse_ΠΟΤΑΜΙ,mse_ΠΟΤΑΜΙ_pm,elections_eval_ΑΝΕΛ,mean_bias_ΑΝΕΛ,std_bias_ΑΝΕΛ,mean_bias_ΑΝΕΛ_pm,std_bias_ΑΝΕΛ_pm,mse_ΑΝΕΛ,mse_ΑΝΕΛ_pm,elections_eval_ΚΙΔΗΣΟ,mean_bias_ΚΙΔΗΣΟ,std_bias_ΚΙΔΗΣΟ,mean_bias_ΚΙΔΗΣΟ_pm,std_bias_ΚΙΔΗΣΟ_pm,mse_ΚΙΔΗΣΟ,mse_ΚΙΔΗΣΟ_pm,elections_eval_OTHER,mean_bias_OTHER,std_bias_OTHER,mean_bias_OTHER_pm,std_bias_OTHER_pm,mse_OTHER,mse_OTHER_pm,elections_eval_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,std_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,std_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,elections_eval_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,std_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,std_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,elections_eval_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25,std_bias_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25_pm,std_bias_ΜΕΡΑ 25_pm,mse_ΜΕΡΑ 25,mse_ΜΕΡΑ 25_pm,elections_eval_ΝΙΚΗ,mean_bias_ΝΙΚΗ,std_bias_ΝΙΚΗ,mean_bias_ΝΙΚΗ_pm,std_bias_ΝΙΚΗ_pm,mse_ΝΙΚΗ,mse_ΝΙΚΗ_pm,elections_eval_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,std_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,std_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,elections_eval_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,std_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,std_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,rms_mean_bias,rms_mean_bias_pm,std_rms_mean_bias_pm,elections_eval_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ,std_bias_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,std_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,mse_ΣΠΑΡΤΙΑΤΕΣ,mse_ΣΠΑΡΤΙΑΤΕΣ_pm
MRB,5,-1.61445260000758,-1.83607818908519,-1.39282701092998,0.306899856586025,0.0133193468570297,6,15.5800442733638,-0.6607213946567,0.397150576118118,0.0149326915430588,-0.880365300508002,6,0.0113986733220511,0.00878313652422873,-0.607841506603452,0.254210053766102,0.000515647189519042,-0.577749787984357,6,0.0113780753600121,0.00816111441970434,0.150596096542307,0.25063833508732,0.000462479541755645,-0.192722217532288,3,0.009254832102607,0.00753309036407832,-0.231107319918148,0.169227702825474,0.000199146818114184,-0.516814119327592,6,-0.00276709164042913,0.000817284615557282,-0.143114379729124,0.202169169460375,1.09965668606658E-05,-0.689075377479991,6,-0.00283589244091443,0.00408279087621129,0.0517527325826534,0.199946247778839,9.13881926308062E-05,-0.460430964722633,2,0.0171063958762757,0.00220849739168903,0.912531128142152,0.209135484136894,0.000297506240604961,0.948935604425163,2,-0.0158676811210573,0.00831662093183074,0.222957927499664,0.309863875835051,0.000320949487883324,-0.316665682093893,1,0.00230573087341893,,-0.0101304105924911,,5.31639486063721E-06,-0.397409101643263,6,-0.00743337027059885,0.0098242398336324,0.101584600630624,0.32341477424444,0.000537833435123471,-0.644070494995707,1,0.0018192817812736,,0.248170218115808,,3.30978619967404E-06,-0.934794149103557,4,-0.00928778303234246,0.00291935820952636,-0.408809981404249,0.271869676768534,0.000111830870722456,0.139442856195809,1,0.00566751466990052,,1.00734699710008,,3.21207225335376E-05,0.104273286708907,2,-0.00403802608440337,0.00100783342343239,0.120844098174025,0.325933191163605,1.73213828677095E-05,-0.7446275177534,2,0.00310131807227059,0.00338309663203277,0.0617168594974063,0.619037100549624,2.10635166070637E-05,-0.0163260679917074,1,-0.00349270491679202,,-0.549209488218451,,1.21989876357832E-05,0.401582214151991,0.0181753797226838,0.652403236920267,0.294144850796192,1,-0.013846424235362,,1.43802272244068,,0.00019172346410562,-1.20338828504022
PALMOS ANALYSIS,5,-1.02407972738659,-0.864539053321039,-1.18362040145214,0.275012105228849,0.060714163534332,4,15.0164165666728,-0.368817745625417,0.300137144744548,0.0176953085613712,0.0791048324380071,4,-0.00575311273425179,0.0125058598978618,-0.588889174757862,0.824885694006633,0.000502287901487854,0.261930701883807,4,0.00449526561914982,0.0132824740566294,-0.0637501947284618,0.578960121124646,0.000549479764181807,-0.167926586771371,2,0.00884136035976034,0.00294955750007042,1.48485453676874,0.620582766029319,8.68695424573632E-05,0.928822378688514,4,0.00116409712188236,0.00783025894670614,0.427269508032116,0.894004037299711,0.000185293987626589,1.58977764388292,4,1.71751038321188E-05,0.00361791453421975,0.0626983184391616,0.48372620767998,3.92682117149472E-05,0.0207563384851553,2,0.00220835592684901,0.00631583645788363,-1.31693362064547,0.821211753723323,4.47666260623812E-05,-0.950877639103315,2,-0.0200528146798573,0.00710670253273264,-1.19442347867807,0.39346575102213,0.000452620597473449,1.24734494991378,1,-0.0076092208309988,,-1.11691578873786,,5.79002416549061E-05,-0.138389537323871,4,0.012680841418268,0.01970321592692,-0.0167428349451632,0.731150152284194,0.00132545389266377,0.613928224727871,1,-0.0066055828158185,,-1.12973361390062,,4.36337243366366E-05,0.168497765240749,2,-0.00416965818027724,0.00885904788686612,0.037783062738632,1.46094530984878,9.586877880214E-05,1.39206108601194,1,0.00752745156335159,,1.35310094378952,,5.66625270386043E-05,0.924132885519576,1,-0.001966670965678,,0.834417725640154,,3.86779468724084E-06,-0.90215273805068,1,0.00546672569063692,,0.0817543217397121,,2.98850897766697E-05,-0.140576001221106,,,,,,,,0.0146787218547239,0.73322928312092,0.525543396830492,1,-0.0181618355609504,,0.611076220706135,,0.000329852270943002,-0.632887990791571
PULSE RC,4,-0.794712668227773,-0.548204903893299,-1.04122043256225,0.500723886120265,0.00705513407271263,7,15.8679749398752,-0.398606102296438,0.645590310053124,0.0210653499047431,-0.879430593708726,7,-0.000343363866195197,0.0117941549018251,-0.59811529854529,0.161393056067209,0.000834730437834075,-0.31151245052156,7,0.0310731731314941,0.0137568337597225,0.304662818788283,0.286981863608431,0.00210104493901565,-0.247792540837957,3,0.0113191304486304,0.00841999188622268,0.460769069976724,0.336485512570576,0.000269915240841222,0.162002079816087,7,-0.00363324500558662,0.00326228614671481,0.183052268836714,0.238872254420694,7.70555346889042E-05,-0.409802843072092,7,-0.00510239583323567,0.00287343668751679,-0.247581095937458,0.21680507538098,7.55742736220256E-05,-0.583120680435482,2,0.0124783126706214,0.00107362007547836,0.219092689851775,0.283064302080654,0.00015686094717226,-0.0269621767586541,2,-0.0158632839636691,0.00601300006274781,0.0480256009866557,0.418992886405418,0.000287799947866605,-0.11790255740863,1,0.00271234070426603,,0.0352585967176726,,7.35679209601835E-06,-0.387358433326534,7,-0.0100006632987055,0.00926562381306973,0.414415043130983,0.315055499768083,0.000615123974286024,-0.82636899892916,1,-0.00188889863396271,,-0.358310271282915,,3.56793804938619E-06,-0.927730929050669,5,-0.00882607789374699,0.00201573971763249,-0.2438347404536,0.172449029196687,9.41524774234538E-05,0.00647689994434986,1,-0.00181372398037508,,-0.383381795132692,,3.28959467698761E-06,-0.8588782579483,2,-0.00562329864522058,0.00554837329043902,0.211885577134492,1.37945904923395,6.24059338233967E-05,0.253987753309011,2,0.00206655187276653,0.00335735209338596,-0.276909025699464,0.447332657141238,1.55424497217979E-05,-0.376303552083007,1,-0.0029506698572403,,-0.265834525053104,,8.70645260642649E-06,-0.142887612582453,0.0332401589365654,0.846820939556327,0.230500332000201,1,-0.0168938573564946,,0.85405425022396,,0.000285402416381586,-0.816475004154045
OPINION POLL,4,-0.389154208718611,-0.967708993273106,0.189400575835883,0.509611338056214,0.017981693965701,3,15.0211714986246,-0.573885372615955,0.430218598660047,0.0188660757198758,0.766196206360675,3,0.0332853212552262,0.0122452163040936,0.683149947586814,0.543526956988079,0.00140780325573169,0.403542281663495,3,0.00869233216796178,0.0138419256890005,0.473882695028581,0.20836021152495,0.000458754452077807,0.128181449091534,,,,,,,,3,-0.00956656772858449,0.0039933932714411,-0.818893057587444,0.485809542255429,0.000123413597746376,0.387783536850433,3,-0.00884402096260471,0.0034059343694116,-0.37746616420602,0.454739899566962,0.00010141748464447,-0.0114892709831352,,,,,,,,,,,,,,,,,,,,,,3,-0.00340540620937979,0.0161123305096348,0.0506103614167422,0.640383179666096,0.000530811180354296,-0.119602556366244,,,,,,,,3,-0.00323488436396139,0.00125081935921829,0.881954367944241,0.211940609873356,1.35935749869924E-05,-1.00894127239251,1,0.00065309877605281,,0.0751895181314409,,4.26538011281679E-07,-0.954523404532092,2,-0.00790222096838027,0.00328031600818791,-0.604161900693304,0.522602542727345,7.32055693466826E-05,0.665957130579028,2,0.00438934382112252,0.00208236384768971,0.273692348176697,0.365476129985782,2.36025783741916E-05,-0.00166900790762936,1,-0.00497362978325976,,-1.32343436923078,,2.47369932209285E-05,2.35619846600303,0.0370845849750738,1.51153237485652,0.242241531462023,1,-0.0322399712293717,,-2.08666546915653,,0.00103941574487072,2.29775464583401
ALCO,3,-0.00619794103714366,0.354866712147099,-0.367262594221386,0.691098125949951,0.0094184493108147,6,15.3535056570175,-0.0517604802496966,0.892718293934626,0.0216596208410288,-0.358638644892525,6,0.00105759449126541,0.0123289615851039,-0.250532035327332,0.276216875306566,0.000761134974942789,-0.343005607761961,6,0.0229813119469853,0.0189697065992529,-0.408742295176078,0.236963010428717,0.00232738954111335,-0.438289507283061,2,0.000232826798916768,0.00428461708088969,0.106183976502807,0.545738244636278,1.84121518481455E-05,-0.379402405376724,6,-0.00736067690737403,0.00414838588297962,-0.176862281896237,0.42934920716198,0.000140225091705272,-0.146671043631693,6,-0.00693985696156511,0.00286318983174467,-0.465717614775136,0.327689854044427,8.9150894710014E-05,0.510897126158822,2,0.00663447434869303,0.00264097261636321,-0.656022778468089,0.518791850204853,5.09909862438461E-05,-0.83533857502582,2,-0.0142710709357907,0.00707378973024015,0.633223469858721,0.0386633507904598,0.000253701966802022,-0.667802390308555,1,0.000136947144485131,,-0.25222721460153,,1.87545203826312E-08,-0.423504425141032,6,0.00213245641284608,0.0107520439368722,0.99275447138686,0.221614887420909,0.000582579614454838,0.0378716888554608,1,0.00973949198663856,,1.54353679244803,,9.48577041577967E-05,1.57002265016804,4,-0.00697369196596602,0.00180628079488297,-0.159916166560718,0.345287889211765,5.84203305660682E-05,-0.0745054247649145,1,-0.00548239537120913,,-1.0653713921743,,3.00566590062553E-05,0.0353198283335032,2,0.00192859272984715,0.00857961215146085,0.585880626959218,1.6166116678695,7.7329214587114E-05,1.07034802018876,2,0.0015053168625943,0.00172334114678568,-0.715263999893846,0.213806848403504,5.23588356501531E-06,-0.981490963331842,1,-0.00219728304744374,,0.128034756487321,,4.82805279058365E-06,-0.747511949343313,0.0252219696781799,1.20978145485829,0.246861109709587,1,-0.0249319535609051,,-0.686256750358746,,0.000621602308363129,0.57209948434957
METRON ANALYSIS,3,0.216425488938174,0.859155071208969,-0.426304093332621,0.475678073740656,0.013803988848036,6,16.0583828385378,0.147985195149928,0.568476354740237,0.0217537355334879,-0.312333917538131,6,-0.00119447665648614,0.0154198286194755,-0.548153080397607,0.296797475154948,0.00119028234775286,-0.0151195406876147,6,0.0268588948524074,0.0153945235753378,-0.0977700379835918,0.553588783422836,0.00190635701325083,-0.3572493967697,2,-0.00607093604322995,0.00546136053498128,-0.89073768755545,0.750494052625379,6.66827233340395E-05,0.644604451116431,6,-0.0080371856253611,0.0018809777363693,-0.376739413333369,0.370285446046937,8.22867390000959E-05,-0.0589209582883001,6,-0.00921108531573237,0.00455699924820579,-0.769978404463775,0.266975136490876,0.000188675303434441,0.568742624960029,2,0.0153986542540291,0.00134389725234365,0.65621675670326,0.322977503144612,0.000238924612659984,0.622147199884681,2,-0.0136700637133262,0.00606689146903695,0.746397438081732,0.234060073263627,0.00022367781402347,-0.751770910850794,1,0.0263103732668424,,2.66945775087196,,0.000692235741440576,2.98624501879071,6,-0.00281443209539958,0.00775053916976415,0.583149820196661,0.254196003106895,0.000308275315129857,-0.626845264597081,1,-0.0038194832262209,,-0.674061329005862,,1.45884521153828E-05,-0.626201747559675,4,-0.00726744942175444,0.0033710840464572,-0.327466865322815,0.881737492269019,8.69084440425937E-05,0.422762044436863,1,0.00975057206534712,,1.76636909833693,,9.50736556015276E-05,2.20732020970194,2,-0.00199642584521504,0.000288924721688891,0.493543737788494,0.196109990071838,4.06919365024561E-06,-1.08675451768916,2,0.00940107528759889,0.00373780092989497,0.979170178901752,0.887246385335798,0.000102351372354626,1.18905183185298,1,-0.00175168952645464,,0.360990255161948,,3.0684161970909E-06,-1.02183103938006,0.029667970619262,1.17681511783774,0.299522030470924,1,-0.0191083997978513,,0.42968957518967,,0.000365130942834524,-0.487179842320345
GPO,3,0.243128401394701,0.291067346716687,0.195189456072714,0.714649158536619,0.0154796697601839,5,16.0839393759756,-0.097870390334067,0.862225951126767,0.0252558535695281,0.612149188506565,5,0.0137926814102895,0.0168341807911115,0.746835389862844,0.326795107460169,0.00132379663211706,0.44043406167774,5,0.0349452998935005,0.0207750728756519,-0.0361568313401079,0.461392730886154,0.00294758859660128,-0.221519077688338,2,-0.00416845500498068,0.00255515415380608,-0.582042871741982,0.28671557409168,2.39048298782609E-05,-0.210543307276711,5,-0.00169286370858262,0.00535061970256676,0.58895158373936,0.315896882571329,0.000117382312341819,-0.0890095795543782,5,-0.00277079053259334,0.00203548884797897,0.393710672870347,0.211428615125491,2.42501395764959E-05,-0.843301424910193,2,0.0064415003933346,0.00622155218549276,-0.685581929680939,1.05484025889017,8.02006389141395E-05,-0.561492380344187,2,-0.0128213597574137,0.00921001485471501,1.25562968021082,0.825832940739149,0.000249211639653098,-1.02668009095181,1,0.0069518131943984,,0.508502068094075,,4.83277066898117E-05,-0.18554230356769,5,-0.0294790660967892,0.00695532561988369,-1.11021002932721,0.140138002246083,0.00106252155585331,1.21248439955223,1,-0.00335435789352238,,-0.597989129754801,,1.12517168778359E-05,-0.717497220620594,3,-0.00567988427540651,0.000474421940661672,0.495670735512321,0.18876962356538,3.27112377375725E-05,-0.673828776595443,,,,,,,,2,-0.00648062293421052,0.00132554122179901,-0.743307426032795,0.566155409175323,4.37555331461037E-05,0.338123657944845,2,0.00143528061579936,0.000856063897039623,-1.14342374235695,1.129191826776,2.79287584190406E-06,-1.24267182944018,1,-0.00191621017320839,,0.274979154233646,,3.67186142790733E-06,-0.927756758806025,0.0478640830976907,1.5144334871971,0.289791718549992,1,-0.0187692208523209,,0.49468519699871,,0.000352283651403197,-0.540241790147773
PUBLIC ISSUE,3,0.373160516072141,-0.256266453194309,1.00258748533859,0.00312492911142415,0.227943784091235,2,15.4931304874414,-0.155319529026003,0.0192927411873469,0.0196223630357325,1.07102502939049,2,-0.0166373870026716,0.0334672624743167,-0.822260269456762,0.980104356584852,0.00139686030380147,0.75721649402789,2,0.0248075179901696,0.0303071107086633,0.746063668745843,1.42834864562458,0.00153393390833976,1.12082877181936,2,-0.000174979789037424,0.0014436173277019,0.0594900012425435,0.35563561464855,2.11464891541276E-06,-0.642364261444944,2,0.00881784918024888,0.00655419464663965,1.22793189980025,1.0072430403528,0.000120711931631656,1.08669000686916,2,0.00607012495461853,0.00173081693645853,0.655431166891197,0.375100977298925,3.98421442322143E-05,-0.250944007287801,2,0.0109397154282404,0.00834798842116055,-0.00946954654372001,1.12706081164957,0.000189366284330712,-0.000648753155493398,2,-0.0195717991175225,0.00657821052544603,-1.08261367253606,0.523937809428682,0.000426328174413744,1.13862702302186,1,-0.000399814817635544,,-0.312144832854283,,1.59851888400944E-07,-0.42280940222014,2,-0.00880433993918995,0.00313542229319209,-0.269429615905652,0.298337124865853,8.73472747214612E-05,-0.199851562638882,1,-0.0104935885920765,,-1.76562490880131,,0.000110115401539758,1.98748421098715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0398383758489032,2.10199979259696,0.794212795474672,,,,,,,
PRORATA,2,0.520240694389921,0.601769377337535,0.438712011442306,0.915202594269285,0.0518460942615699,5,17.6032159700015,0.455940027306379,1.78991152267078,0.0286854807526141,0.408850661478129,5,-0.00131024829899127,0.0212255234725109,-0.363404104064379,0.52717583237792,0.00180380813733346,0.440262720757642,5,0.020977346101471,0.027809619150082,-0.844560118653352,0.586117429722951,0.00353354871855134,0.0770176301738497,2,0.00592665589928799,0.00440448661182537,1.00301940944782,0.547166150411409,5.45247524623141E-05,0.0451278673528528,5,-0.00392047773418993,0.00384503534019462,0.569143456179982,0.384620390548443,7.45073327336611E-05,-0.413898468536231,5,0.00283815015166959,0.00109646337670676,1.24344663738504,0.333710549985435,1.28640240292589E-05,-0.856891383793783,2,0.0182023670973446,0.00210532065634375,1.07657852766567,0.193895319731818,0.000335758543012522,1.24304621792709,2,-0.015818318742828,0.00714204715468579,0.148678743056314,0.0581600438990734,0.00030122804540946,-0.246826601566852,1,-0.00338732317043544,,-0.645634158928641,,1.14739582609688E-05,-0.367077935582648,5,-0.0155320636645192,0.0148136179764568,-0.162078612056923,0.352236415390187,0.0011190181118883,0.101560810431795,1,0.0052899973702747,,0.815812849615716,,2.79840721775132E-05,-0.259687959844345,3,-0.00518094973942552,0.0037618488734098,0.366060497086791,1.12111641693858,5.51452540952025E-05,-0.243476526367528,1,-0.00111858564591634,,-0.254158688972205,,1.25123384725007E-06,-0.926973075171498,1,-0.00581863435709599,,-0.308393617680359,,3.38565057815778E-05,-0.562087202195453,1,0.00934493722896007,,1.16859249764567,,8.73278518132039E-05,0.916712963212787,1,-0.00342057317538737,,-0.51149914235909,,1.17003208481796E-05,0.323842401333358,0.0265788646050257,1.6558072433389,0.540425797902041,,,,,,,
INTERVIEW,2,0.702922932223296,1.50028733756884,-0.0944414731222468,0.82471592863981,0.0466549464426665,5,19.1144434713841,1.21667054094053,1.18180327930155,0.0285399007817218,0.473789625998602,5,-0.000293127341293999,0.0111865492492688,0.00333774443075774,0.597269055756876,0.000500641460063484,-0.805811928401285,5,0.0375473160457345,0.0272770008206161,0.744812754276337,0.589489579828892,0.00438594003730983,1.51432054601477,2,-0.00621521206335482,0.0100637052724078,-0.86586332028244,1.69542003448014,0.00013990702480236,1.20336832943651,5,-0.0117496529409542,0.00297782220145366,-0.547810689364823,0.308165713528333,0.000173524044486754,0.30680334332741,5,-0.0120462095660517,0.00455599129604626,-0.897509256578525,0.265664043448365,0.000228139391667832,0.875793130221817,2,0.00655759239456678,0.000766887221891645,-0.667180804257066,0.238255943344948,4.35901340243808E-05,-0.919259640098169,2,-0.0220584721192424,0.0118533751518693,-1.4659780231396,0.955539238546895,0.000627078694726349,1.48591875611076,1,-0.00555848623576842,,-0.887996563297098,,3.0896769233227E-05,-0.27140429543275,5,-0.00315947383608348,0.0180743332505278,0.41921343218166,0.589806766161601,0.00131670836472543,0.162474409771085,1,0.008433054850816,,1.32986632748177,,7.11164141168713E-05,0.920443899965421,3,-0.00700120825287632,0.00480587044400769,-0.280242533464732,0.771889487402972,9.52096984493169E-05,0.844066995066045,1,-0.00737709361740366,,-1.41758731880813,,5.44215102399379E-05,0.84926801023694,1,0.00439584398104255,,1.24634607054662,,1.9323444305668E-05,-0.906906324288945,1,-0.00682268280265364,,-1.72820231590761,,4.65490006256258E-05,0.14130127879034,1,0.00226677948796636,,2.46183869453118,,5.13828924706501E-06,-0.699147541173518,0.04126784038376,1.35503376275967,0.511259343353286,,,,,,,
