,starRating,balancedScore,logScore,biasScore,w_prior_logScore,w_prior_biasScore,elections_eval,mean_neg_logL,mean_neg_logL_pm,std_neg_logL_pm,mean_rmse,mean_rmse_pm,elections_eval_ΝΔ,mean_bias_ΝΔ,std_bias_ΝΔ,mean_bias_ΝΔ_pm,std_bias_ΝΔ_pm,mse_ΝΔ,mse_ΝΔ_pm,elections_eval_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ,std_bias_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ_pm,std_bias_ΣΥΡΙΖΑ_pm,mse_ΣΥΡΙΖΑ,mse_ΣΥΡΙΖΑ_pm,elections_eval_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ,std_bias_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,std_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,mse_ΧΡΥΣΗ ΑΥΓΗ,mse_ΧΡΥΣΗ ΑΥΓΗ_pm,elections_eval_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ,std_bias_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ_pm,std_bias_ΠΑΣΟΚ_pm,mse_ΠΑΣΟΚ,mse_ΠΑΣΟΚ_pm,elections_eval_ΚΚΕ,mean_bias_ΚΚΕ,std_bias_ΚΚΕ,mean_bias_ΚΚΕ_pm,std_bias_ΚΚΕ_pm,mse_ΚΚΕ,mse_ΚΚΕ_pm,elections_eval_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ,std_bias_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ_pm,std_bias_ΠΟΤΑΜΙ_pm,mse_ΠΟΤΑΜΙ,mse_ΠΟΤΑΜΙ_pm,elections_eval_ΑΝΕΛ,mean_bias_ΑΝΕΛ,std_bias_ΑΝΕΛ,mean_bias_ΑΝΕΛ_pm,std_bias_ΑΝΕΛ_pm,mse_ΑΝΕΛ,mse_ΑΝΕΛ_pm,elections_eval_OTHER,mean_bias_OTHER,std_bias_OTHER,mean_bias_OTHER_pm,std_bias_OTHER_pm,mse_OTHER,mse_OTHER_pm,elections_eval_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,std_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,std_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,elections_eval_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,std_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,std_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,elections_eval_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25,std_bias_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25_pm,std_bias_ΜΕΡΑ 25_pm,mse_ΜΕΡΑ 25,mse_ΜΕΡΑ 25_pm,elections_eval_ΝΙΚΗ,mean_bias_ΝΙΚΗ,std_bias_ΝΙΚΗ,mean_bias_ΝΙΚΗ_pm,std_bias_ΝΙΚΗ_pm,mse_ΝΙΚΗ,mse_ΝΙΚΗ_pm,elections_eval_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,std_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,std_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,elections_eval_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,std_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,std_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,rms_mean_bias,rms_mean_bias_pm,std_rms_mean_bias_pm,elections_eval_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ,std_bias_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,std_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,mse_ΣΠΑΡΤΙΑΤΕΣ,mse_ΣΠΑΡΤΙΑΤΕΣ_pm
MRB,5,-1.46921015149076,-1.33056042482978,-1.60785987815174,0.0995963216138275,0.0511409561650498,6,30.2634961130268,-0.904234513707614,0.464922345421102,0.0145388507554182,-0.856267751341942,6,0.0132815569258401,0.00759492952949492,-0.551969147230008,0.216078604644889,0.000464814527164301,-0.371071303791892,6,0.00546187991004959,0.0096101154929108,0.0747802590421794,0.32072065724382,0.000491603731087224,-0.326033253845681,3,0.0100057444249915,0.00746878028225087,-0.0869960484201614,0.147473708223723,0.000211680279307327,-0.448128601015602,6,-0.00220726745578004,0.000828470351925819,-0.0507185452075124,0.156765550962661,8.30384524144616E-06,-0.733696040454869,6,-0.00218263797069504,0.00409903601263023,0.0858832645115002,0.189660356206722,8.87743896753173E-05,-0.424213958952526,2,0.0150600296133793,0.00085054564403193,0.920931628867227,0.23139883727898,0.000227527919848445,1.01422785634075,2,-0.00879140287822158,0.00198922302459924,0.256057034841476,0.303390973076942,8.12457728087985E-05,-0.387805639735218,6,-0.0067883584999928,0.00983896951690366,0.0516272487847812,0.273769945104819,0.000530108416897222,-0.678746529437279,1,0.00266185092167286,,0.262903885548467,,7.08545032921064E-06,-0.777848663425633,4,-0.00877760213483297,0.00294785218297375,-0.291112171798991,0.195784514273061,0.000103115796715413,0.0770414976061369,1,0.00626045369033047,,1.26751910110417,,3.91932804087723E-05,0.404770196192131,2,-0.00353169689065506,0.000959225376952101,0.127632891069263,0.337964556911088,1.33929962512515E-05,-0.790144490087679,2,0.00360473938641231,0.00336572213011866,0.0686814634396823,0.632013173909715,2.43222315011227E-05,0.00452060554962297,1,-0.00303369486648981,,-0.570441681110215,,9.20330454296665E-06,0.343105327797758,0.0161848582256078,0.568221528459141,0.251588749366918,1,-0.0134015610517652,,1.4527978322806,,0.00017960183862419,-1.21020053221094
PULSE RC,5,-1.02201460694325,-0.858334982281879,-1.18569423160463,0.106656943691043,0.0486038238706172,7,35.339954153122,-0.623225441897488,0.521718491519237,0.0206781082499452,-0.889777587762191,7,0.0011747421636182,0.0112962829703082,-0.545336872587549,0.191218056778583,0.000767016072822627,-0.210567200986641,7,0.0264054040188616,0.0154128403625396,0.233631586957644,0.29998733289367,0.00212257924964609,-0.306096867272212,3,0.0118331107913893,0.00852870589424394,0.213610731620033,0.187678528778501,0.000285500159462318,-0.131645576924503,7,-0.00311211841764789,0.00318905913753162,0.22820077815685,0.224483967247813,7.07058701415067E-05,-0.345388390959444,7,-0.00452959555331097,0.00287411816501856,-0.267987586340663,0.195962855855903,7.00805672355126E-05,-0.532477417062751,2,0.00997653773253195,0.00425928910269729,0.158148587295321,0.273606112228519,0.00011767284878899,-0.201228092628796,2,-0.00913007567586858,0.000234051000079257,-0.0390358113751108,0.453735894389101,8.34130617177252E-05,-0.0378011193163029,7,-0.00941483295790911,0.00927686712815082,0.377761186322072,0.334548403769892,0.000605000661905523,-0.84524737094536,1,-0.00134709570415581,,-0.42448961128248,,1.81466683615504E-06,-0.923225981637524,5,-0.00834858017705755,0.00203151357862834,-0.32039216164142,0.149442879937627,8.62069806533637E-05,0.10138739426647,1,-0.00134136163408426,,-0.238118362290925,,1.79925103339319E-06,-0.701458131406898,2,-0.00521803396570061,0.00549437425187316,0.189182345046324,1.3643039610997,5.74160268868519E-05,0.222838115867766,2,0.0024718165522865,0.00330335305482009,-0.299861846759229,0.438284744291975,1.70220184729467E-05,-0.398641729451234,1,-0.00253848662174677,,-0.31204460722437,,6.44391432878732E-06,-0.193281308332683,0.0285913794192876,0.78649378796241,0.264566930312671,1,-0.0165892606983313,,0.846188142594035,,0.000275203570517199,-0.81196265484734
KAPA RESEARCH,4,-0.621449529962309,-0.201422978115146,-1.04147608180947,0.145911835266917,0.128151104827456,4,40.3976808925698,-0.227782907818614,0.471764958460649,0.0348381490215093,0.293377127789017,4,-0.0169064135086013,0.0145050057526973,-0.213704236143019,0.465700489012289,0.000917012393381164,-0.479868423119999,4,0.0416379556769669,0.0335830556240945,0.621894639796975,0.33015211613027,0.00511718422811014,0.448407371495336,2,0.0199376123368405,0.0151326397675327,0.923884052094649,0.925779716053994,0.000626505172028045,1.05355702686793,4,-0.0107172162386973,0.00300060448601402,-0.373276879666204,0.0953446575998506,0.000141869605751459,-0.181086447534888,4,0.00363027203923778,0.0014334742629484,-0.00814761151391452,0.377314271967163,1.93434204664779E-05,-0.645187455616543,1,0.0159105752574113,,0.689532791588247,,0.000253146405021748,0.659310231797401,1,-0.00680217985362234,,0.559448007918419,,4.62696507610257E-05,-0.66085303146661,4,-0.0219267643859968,0.023179657298937,-0.292527633154128,0.340995232579502,0.0020926725339275,0.318636562532615,1,0.00266185092167286,,0.262903885548467,,7.08545032921064E-06,-0.777848663425633,3,-0.00404041344008376,0.00246408834460632,0.53950916246265,0.723454513877719,2.84684035068589E-05,-0.427655043105981,1,-0.000358159349526446,,-0.0433824826949744,,1.28278119653207E-07,-0.750890556922586,,,,,,,,,,,,,,,,,,,,,,0.0512675995742512,0.810800143179042,0.339236506537572,,,,,,,
PALMOS ANALYSIS,4,-0.403221388643549,-0.328806422176218,-0.47763635511088,0.188021538650328,0.0361656986706384,4,34.7843898326809,-0.317549268754738,0.549241466264269,0.0182772956431276,-0.0299173038593676,4,0.00762544480452119,0.0129965306046322,-0.394438787711401,0.746674115221542,0.00056487683173822,0.112472853072609,4,0.0113286546337746,0.0137404320647562,0.0819940428944929,0.608891892607477,0.000694736835789882,-0.0608928127024875,3,0.017932407946897,0.00581561680236939,1.17564064456389,0.3869451556495,0.000389214052357936,0.977183393495631,4,0.00523976936549217,0.00536378026607814,0.662964430476026,0.785477771337917,0.000113765599231858,1.11240297463751,4,0.00621855570985202,0.00584092518824386,0.525009426388954,0.531928068493435,0.000141019656280518,0.499804702014315,2,0.000264688163863429,0.00333820021678197,-1.33180654692886,0.900700617827483,1.12136405114126E-05,-1.11206983095291,2,-0.0128853288461134,0.000738865323751049,-1.18998949066441,0.445518533586512,0.000166577621439125,1.20201788097623,4,-0.0231356777672963,0.0158258777213144,-0.670769047341272,0.27310279713066,0.00128663480270215,0.0274366967876074,1,-0.00572639649964122,,-1.17538583626303,,3.27916168711032E-05,-0.0688281623384085,2,-0.00727078345395963,0.0040802421542864,0.025146206936896,1.50831905306188,6.95126680719889E-05,-0.0302380380897751,,,,,,,,1,-0.00168390036449467,,0.78664790405844,,2.83552043754527E-06,-0.873610829763981,1,0.0057589912295059,,0.0259376025671385,,3.31659799815259E-05,-0.202480250176427,,,,,,,,0.0280690403852785,1.15212535301772,0.171399383816557,1,-0.0179112527719626,,0.594617012792816,,0.000320812975861136,-0.621972448474163
PRORATA,3,-0.151043069411655,-0.583421631674802,0.281335492851492,0.106720593049694,0.2698498515743,5,34.8009341891859,-0.456135878339548,0.44107986371879,0.0292834388788528,0.654562494837121,5,0.00163579482718075,0.0213005826897072,-0.219118808549984,0.666680353044475,0.00181753511640084,0.609317203208389,5,0.0142366606880778,0.0301488254248886,-0.850102663478448,0.586504689501967,0.0038384892055491,0.327715596534215,2,0.00648431562358384,0.00485708116371677,1.01394384597666,0.61677504832539,6.56375865371857E-05,0.234882441181493,5,-0.00333969965014349,0.00369438451153629,0.510329583051676,0.451772912190632,6.57475014294853E-05,-0.219337525337641,5,0.00350681159083833,0.00117747457453747,1.20021890949486,0.34782887514996,1.78435130283669E-05,-0.697050479045247,2,0.0158796048950041,0.00119973943182594,1.04599151381692,0.176561218347984,0.000253601226325718,1.2535233177193,2,-0.00895092233529083,0.000991450209750921,0.121154957533519,0.0370196034112789,8.11019841708233E-05,-0.252955683837767,5,-0.0151984667037983,0.014822623261291,-0.135753285653868,0.385212972634782,0.00110983403153113,0.120947854419522,1,0.00614954200556264,,0.860920370620916,,3.78168668781794E-05,0.0697769179756573,3,-0.00463644614793701,0.00372445396677934,0.38300274626118,1.11706912983542,4.92397475840367E-05,-0.195195751272121,1,-0.000600344715838176,,-0.0913504147011467,,3.6041377783482E-07,-0.744023283049837,1,-0.00532024899274779,,-0.319065633771083,,2.83050493448338E-05,-0.63103515596959,1,0.00987029079166474,,1.14866561179247,,9.74226403120217E-05,0.927215024895422,1,-0.00300029925893031,,-0.553016027628835,,9.00179564313778E-06,0.303934832673821,0.0214430185304533,1.57799818102749,0.601411910827699,,,,,,,
ALCO,3,-0.135415170517897,-0.147528002502596,-0.123302338533198,0.334390771444063,0.0370621137904734,7,34.9496904457087,-0.208789342076155,1.0702081893063,0.0211922010667531,-0.503883080295362,7,0.00302591899188956,0.00988218536672375,-0.302155989607425,0.24775896291977,0.000595101711479212,-0.470329070172427,7,0.0193086012350862,0.0177155377318314,-0.402197308520398,0.208057196145213,0.00225586374442322,-0.410164843984184,3,0.0083137526631729,0.00582243594627354,-0.368625403374472,0.443733621864002,0.000136920004041331,-0.63293223655819,7,-0.00733006149476401,0.00357157567700346,-0.29819882735479,0.388939805184311,0.000130266718416398,-0.13038768386575,7,-0.00516440151476077,0.0027615653851346,-0.589140268101509,0.313863572654436,7.24285032639051E-05,0.305451895863532,2,0.00424003439979523,0.00577030694428891,-0.70802941697847,0.48939533361034,5.12743339427558E-05,-0.802734371962416,2,-0.00741831908386489,0.00079250189692557,0.607284299523221,0.0245977936870511,5.56595172866646E-05,-0.641354878383446,7,-0.00145308970448909,0.0105355105805102,1.04049467130407,0.160917423039991,0.000668093368841551,-0.0208560299913317,1,0.0104386755522523,,1.59635608035039,,0.000108965947285189,2.0321915222638,5,-0.00714265873502668,0.00188701438978077,-0.091666053125465,0.248107710963516,6.52608670340118E-05,-0.143196147773221,1,-0.00475653559491308,,-0.914537564809657,,2.26246308656751E-05,-0.0853804984720491,2,0.00254471727914158,0.00881550069391594,0.598668597358359,1.61651628300639,8.41886385151941E-05,1.32767914360019,2,0.00207550814970365,0.00156493638341379,-0.689874508924163,0.218824432961664,6.7567599636185E-06,-0.966386973017118,1,-0.00154520239373935,,0.206245911519424,,2.38765043761783E-06,-0.98176194172105,0.0215520435600206,1.33105179244962,0.229639713019251,1,-0.0246377312841247,,-0.685411689830275,,0.000607017802828737,0.570240292089484
PUBLIC ISSUE,3,-0.0320040760307803,-0.729488710138653,0.665480558077092,0.337920713789677,0.60115868302211,2,28.3696308463814,-0.686483194062367,0.576592753603643,0.0117999982507587,-1.31648216198198,2,0.016033524243571,0.00371822250387133,-0.925102132457795,1.01826579415224,0.000270899078257475,-1.22766323891753,2,-0.0182202186102462,0.00553366118829893,0.571895613125929,1.40867246292161,0.000362597772352049,-0.7093416557349,2,0.000934597117743234,0.00107010405085699,0.139831628917261,0.316156341460223,2.01859445215451E-06,-0.640811580645081,2,0.00994150961909665,0.00692735046681662,1.34356387000508,1.05884959467609,0.000146821797996696,1.2310214547867,2,0.0071854600004901,0.00207889203058284,0.780580876724752,0.290568007129318,5.59526274934641E-05,-0.0748237524760887,2,0.00909212175155063,0.0052122643718838,0.00212852566550814,1.16436968389206,0.000109834377827429,0.0525965669597615,2,-0.0123667539524217,0.000296190902987107,-1.05657164836886,0.547763217564916,0.00015302433237075,1.06305843242793,2,-0.00781495864506639,0.00358065523149915,-0.27142271589623,0.395113267733105,7.38946705109602E-05,-0.325479382243271,1,-0.00957056304943459,,-1.83452533940292,,9.15956770832028E-05,1.55308944912653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0322034943206623,2.1924689917056,0.768141995195683,,,,,,,
METRON ANALYSIS,3,0.0456552429018895,0.218969602576889,-0.12765911677311,0.166113917606179,0.0439052405706523,7,37.4175666746567,0.0438456922192686,0.673907738255974,0.021761545949482,-0.341158571931932,7,0.00238384120425139,0.013468328161857,-0.514585749260572,0.330916840986093,0.00109405787973991,0.287966963342997,7,0.0229176435226164,0.0148455731897355,-0.121179680943635,0.491821979490651,0.00184756464462048,-0.330474168486873,3,0.00208362125409577,0.00613801590161886,-1.36870625374449,0.502746253727896,7.96919559475717E-05,-0.520288965890539,7,-0.00784197454033567,0.00174314461853445,-0.466948274428802,0.332517171609605,7.97278836580265E-05,-0.0479021475618537,7,-0.00729360204152636,0.00416873639740735,-0.848567526052059,0.221370898588693,0.00015746680964657,0.330863770452884,2,0.0129932215443112,0.00437089460106949,0.615749015950488,0.297513496397949,0.000187928525713211,0.452894653606984,2,-0.00684100998006483,0.000309259147170124,0.705407940171245,0.288924022149193,4.68950587674549E-05,-0.664153175748905,7,-0.00485395490943527,0.00867831317103794,0.739487846117955,0.265669487119192,0.000475439595230494,-0.474456142449296,1,-0.00335489813093953,,-0.768757185762158,,1.12553414689815E-05,-0.662835858985058,5,-0.00804227208453001,0.0033410637693855,-0.369247852854569,0.667474465713699,0.000109328968726012,0.470187074839237,1,0.0104797129138265,,2.10319774936968,,0.000109824382756222,2.49425152600411,2,-0.00133215007639867,0.000331529604085489,0.535255770971997,0.227277514080757,1.88453570443407E-06,-1.09913610463629,2,0.0100898625679379,0.00378237133381225,1.03679573752897,0.835684140531814,0.000116111659546719,1.27609842661757,1,-0.00116257919251956,,0.40589669812402,,1.35159037887942E-06,-1.18315744094408,0.0258680335010427,1.32831954748622,0.250835356031043,1,-0.01856771067897,,0.469695040394615,,0.000344759879857936,-0.522219399776379
GPO,3,0.217091746725322,0.259360978754249,0.174822514696396,0.193969500006497,0.0854655902437241,5,39.9339544034507,0.0773970754482718,0.626004943964778,0.025377561775588,0.73814190998872,5,0.0163628042525472,0.0161565113222401,0.796156446972556,0.312580588994987,0.00131187279542986,0.539994858390603,5,0.0292073045631153,0.0237528201987311,-0.0341061279146603,0.471346311769757,0.00310985250941556,-0.0991790722482827,2,-0.00358275038564576,0.00286009225445276,-0.5645659684796,0.295794038064344,2.10162280298255E-05,-0.286651542649269,5,-0.00125073375761111,0.00527729998398484,0.586619423944345,0.319615172466229,0.000112963915416294,-0.0271972328968093,5,-0.00225099998346721,0.00208289080351813,0.347293597805385,0.225584287715555,2.24207373230911E-05,-0.790624639286992,2,0.00412827824681961,0.00937797366388134,-0.71661570655157,1.0360738786854,0.000104989071323616,-0.314892547227386,2,-0.00588842603396784,0.00295876284047416,1.28830297926076,0.861630176843962,4.3427838703681E-05,-1.03505715097423,5,-0.0285349318901364,0.00714412127833344,-1.0527805700117,0.150804964149192,0.00101839621333287,1.02144599403386,1,-0.00269882899447606,,-0.656264379055543,,7.28367794142468E-06,-0.772381203284804,3,-0.00525420984074505,0.000419045140287226,0.414329213478131,0.238696348082081,2.79579187097788E-05,-0.625185288032876,,,,,,,,2,-0.00612284575462635,0.00144212333868884,-0.766331194108629,0.573054574401837,3.95689598589369E-05,0.334313107507314,2,0.00179342457543938,0.000959086448088752,-1.16317549165864,1.12827358949931,4.13621852269742E-06,-1.24972210204017,1,-0.00151565319056706,,0.221664531294909,,2.29720459407611E-06,-0.999343341234619,0.04406451720696,1.48597120976042,0.302421487318464,1,-0.0185439108218214,,0.474224081885405,,0.000343876628567666,-0.52589866491155
OPINION POLL,2,0.273950687788835,0.194304232426304,0.353597143151366,0.479527607465781,0.0768361752391495,2,35.2425375879791,0.128563551841055,0.774684260177206,0.0172939397854479,0.949136589232406,2,0.029975224678165,0.0188067297815466,0.305937765327627,0.490249078703695,0.00125220717958259,0.0684791783730859,2,0.017676508303538,0.00560406667045186,0.550649437729803,0.279771878432385,0.000343864509051917,0.238430196658663,,,,,,,,2,-0.00640217144071476,0.00173131209920712,-0.643332479122951,0.667832211584782,4.39852407411646E-05,-0.13965524353523,2,-0.00816329366635188,0.00528960954223556,-0.023384765960458,0.0845134260372934,9.46193325924102E-05,-0.510991653606612,,,,,,,,,,,,,,,2,-0.0104771845150913,0.0179652093790249,0.305517050032025,0.824675306483191,0.000432520143395472,0.160463392358045,,,,,,,,2,-0.00338066794188893,0.000188747379858446,1.08127807076473,0.0594499837566392,1.1464541306719E-05,-1.05069376173886,,,,,,,,2,-0.00729542500865121,0.00320348798892121,-0.566109946028852,0.536819214069445,6.34855613520159E-05,0.498001843856912,2,0.00503804107538668,0.00201228632817983,0.317081893176651,0.385356280060248,2.94311541438628E-05,0.0813134691060574,1,-0.00438478908334294,,-1.27543558192882,,1.92263753054034E-05,2.29144927072204,0.0389667242398132,1.57948111025411,0.180505524378134,1,-0.0319386166919654,,-2.07474830329018,,0.00102007523619629,2.29086932502003
