,starRating,balancedScore,logScore,biasScore,w_prior_logScore,w_prior_biasScore,elections_eval,mean_neg_logL,mean_neg_logL_pm,std_neg_logL_pm,mean_rmse,mean_rmse_pm,elections_eval_ΝΔ,mean_bias_ΝΔ,std_bias_ΝΔ,mean_bias_ΝΔ_pm,std_bias_ΝΔ_pm,mse_ΝΔ,mse_ΝΔ_pm,elections_eval_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ,std_bias_ΣΥΡΙΖΑ,mean_bias_ΣΥΡΙΖΑ_pm,std_bias_ΣΥΡΙΖΑ_pm,mse_ΣΥΡΙΖΑ,mse_ΣΥΡΙΖΑ_pm,elections_eval_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ,std_bias_ΧΡΥΣΗ ΑΥΓΗ,mean_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,std_bias_ΧΡΥΣΗ ΑΥΓΗ_pm,mse_ΧΡΥΣΗ ΑΥΓΗ,mse_ΧΡΥΣΗ ΑΥΓΗ_pm,elections_eval_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ,std_bias_ΠΑΣΟΚ,mean_bias_ΠΑΣΟΚ_pm,std_bias_ΠΑΣΟΚ_pm,mse_ΠΑΣΟΚ,mse_ΠΑΣΟΚ_pm,elections_eval_ΚΚΕ,mean_bias_ΚΚΕ,std_bias_ΚΚΕ,mean_bias_ΚΚΕ_pm,std_bias_ΚΚΕ_pm,mse_ΚΚΕ,mse_ΚΚΕ_pm,elections_eval_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ,std_bias_ΠΟΤΑΜΙ,mean_bias_ΠΟΤΑΜΙ_pm,std_bias_ΠΟΤΑΜΙ_pm,mse_ΠΟΤΑΜΙ,mse_ΠΟΤΑΜΙ_pm,elections_eval_ΑΝΕΛ,mean_bias_ΑΝΕΛ,std_bias_ΑΝΕΛ,mean_bias_ΑΝΕΛ_pm,std_bias_ΑΝΕΛ_pm,mse_ΑΝΕΛ,mse_ΑΝΕΛ_pm,elections_eval_OTHER,mean_bias_OTHER,std_bias_OTHER,mean_bias_OTHER_pm,std_bias_OTHER_pm,mse_OTHER,mse_OTHER_pm,elections_eval_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,std_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mean_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,std_bias_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,mse_ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ_pm,elections_eval_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,std_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mean_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,std_bias_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ,mse_ΕΛΛΗΝΙΚΗ ΛΥΣΗ_pm,elections_eval_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25,std_bias_ΜΕΡΑ 25,mean_bias_ΜΕΡΑ 25_pm,std_bias_ΜΕΡΑ 25_pm,mse_ΜΕΡΑ 25,mse_ΜΕΡΑ 25_pm,elections_eval_ΝΙΚΗ,mean_bias_ΝΙΚΗ,std_bias_ΝΙΚΗ,mean_bias_ΝΙΚΗ_pm,std_bias_ΝΙΚΗ_pm,mse_ΝΙΚΗ,mse_ΝΙΚΗ_pm,elections_eval_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,std_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mean_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,std_bias_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ,mse_ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ_pm,elections_eval_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,std_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ,mean_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,std_bias_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ,mse_ΦΩΝΗ ΛΟΓΙΚΗΣ_pm,rms_mean_bias,rms_mean_bias_pm,std_rms_mean_bias_pm,elections_eval_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ,std_bias_ΣΠΑΡΤΙΑΤΕΣ,mean_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,std_bias_ΣΠΑΡΤΙΑΤΕΣ_pm,mse_ΣΠΑΡΤΙΑΤΕΣ,mse_ΣΠΑΡΤΙΑΤΕΣ_pm
MRB,5,-1.41151527679108,-1.25438918201386,-1.56864137156829,0.234654704100353,0.0378428016015803,6,14.7327509190923,-0.538204324791822,0.425751516030496,0.0145381400298367,-0.873020543783469,6,0.0132775916695405,0.00759556800224806,-0.485411943472887,0.209044095201983,0.000464757706926923,-0.514475117800474,6,0.0054517165746622,0.00961096249054557,0.0742320736027774,0.320635091646931,0.000491574213583816,-0.322687460446768,3,0.0100091009975048,0.0074689305592188,-0.0870248515973769,0.147495165914951,0.000211751950175117,-0.44816452314311,6,-0.00220859509508989,0.000828998313819136,-0.0198887536472883,0.179615348315804,8.31408331562995E-06,-0.718178400512039,6,-0.00218074349590347,0.00409973353543678,0.115026795960151,0.202247193112541,8.87947175028501E-05,-0.432401518277828,2,0.0150633494623482,0.000851437090629389,0.921041075030263,0.231367018386644,0.000227629442144125,1.01441311598484,2,-0.00878267192594212,0.00198913839158846,0.256584072523206,0.303514704550317,8.1091997699623E-05,-0.388365728729326,6,-0.00679000040996666,0.00983938871091899,0.0518310646900998,0.27369747512313,0.000530171956590148,-0.677442182630587,1,0.0026696207800409,,0.26312117970381,,7.12687510922621E-06,-0.776682072360366,4,-0.00877447298248318,0.00294760899078033,-0.32507756525248,0.203566708875419,0.000103056572407914,0.071360573224599,1,0.00626710215009879,,1.05770300448552,,3.92765693597729E-05,0.355056929980215,2,-0.00352712871586784,0.000959226462388656,0.127698359451796,0.338062051336127,1.33607523844462E-05,-0.790429488569609,2,0.00360939401319637,0.00336531624049946,0.0687149923462752,0.632091395982285,2.43530785410672E-05,0.0046349903024307,1,-0.00302812720077569,,-0.570680279659145,,9.16955434407761E-06,0.342083888663974,0.0161787914941081,0.507393674768324,0.250028246183802,1,-0.0133969120754995,,1.45296637088803,,0.000179477253158664,-1.21031310710918
PULSE RC,5,-0.787987158172963,-0.471257487119486,-1.10471682922644,0.266600987274917,0.0384935728019478,7,15.0543717752387,-0.308915267592454,0.500730897454461,0.0206769682212217,-0.896662738830852,7,0.00117126399080757,0.0112970318030208,-0.487706969688777,0.181833569109172,0.000767109424686944,-0.344487765978652,7,0.0263972785958345,0.0154129343643643,0.251628473859323,0.316810840239053,0.00212216759158732,-0.313988464531915,3,0.0118353775969847,0.00852916403576843,0.213456087529699,0.187678875097121,0.000285569441161299,-0.131740416302679,7,-0.00311272893270743,0.00318841797190426,0.268112853031736,0.206090944290205,7.06851363898862E-05,-0.398294588640659,7,-0.00452702864976826,0.00287453919481223,-0.240596203433472,0.20627123555659,7.00718418908933E-05,-0.540256340828865,2,0.00997902442905027,0.00425992244828457,0.157998268911567,0.273657450906246,0.000117727867820981,-0.201173882946595,2,-0.00912504277923221,0.000233002791325543,-0.0397571795498991,0.453881208648848,8.33206960235833E-05,-0.037069298188851,7,-0.00941668878453301,0.00927721094114655,0.382257940303561,0.331868620418079,0.000605073884743926,-0.839711636933159,1,-0.0013414072653253,,-0.424846786520451,,1.7993734514675E-06,-0.923648923735133,5,-0.00834462059156459,0.00203172034417218,-0.340809343806754,0.159740114460641,8.61442430448563E-05,0.081946135514251,1,-0.00133488773202364,,-0.414936903448673,,1.78192525710723E-06,-0.75643199131316,2,-0.00521409851963945,0.00549365150504726,0.188939164464199,1.3641460677069,5.73670302314144E-05,0.222698863994099,2,0.00247575199834766,0.0033026303079942,-0.300077538899695,0.43819236823142,1.70367149086043E-05,-0.398857171523672,1,-0.00253352531460346,,-0.312560030265932,,6.41875051973658E-06,-0.194057078609506,0.02858400381457,0.759649356698418,0.272465714478668,1,-0.0165857250944627,,0.846105416951812,,0.000275086276909088,-0.811928050443068
PALMOS ANALYSIS,4,-0.776794194527035,-0.774747788009957,-0.778840601044112,0.143679293625343,0.122072891324242,5,14.9116380201665,-0.358130938383328,0.287513688001636,0.0213949254492806,0.305670060571286,5,-0.00147859043912243,0.0135671912265863,-0.768187553560475,0.68850041430371,0.000738460940801708,0.683849052482753,5,0.00260447629024913,0.0137563091998655,0.0905016583064518,0.471708392953194,0.000763727467955687,-0.10556874407305,3,0.0179357250879394,0.00581694003582504,1.17574332889964,0.386877570296219,0.000389363817190906,0.977800204402533,5,0.00089814278216183,0.00600864267897406,0.302146022175998,0.707370779291711,0.000145221807831503,1.16160032329849,5,0.00451322048368896,0.0048367778823031,0.286284771510551,0.476274079894969,0.000113946840265335,0.300592670252628,2,0.000272148204221438,0.00333594836851623,-1.33159630853868,0.900741478353296,1.1202616162467E-05,-1.11224944698632,2,-0.0128742213032348,0.000739030330975842,-1.18930047394042,0.445444402286005,0.000166291739994768,1.20141768948489,5,-0.00418418328481646,0.0225720943227591,-0.161196687228188,0.551732004755965,0.00205550515822308,0.439488645990829,1,-0.00571542233928499,,-1.17507396534626,,3.26660525163979E-05,-0.0721468640479815,3,-0.00318186079700161,0.005591680920594,0.541949477251091,1.12009032815408,7.26580291669657E-05,0.601673563920841,1,0.0082089912533485,,1.43388127288249,,6.73875373975522E-05,1.18837673574422,1,-0.00168107011773634,,0.786171969066471,,2.82599674074608E-06,-0.873339425933989,1,0.0057617200371928,,0.0254398168980555,,3.3197417786989E-05,-0.202998025568322,,,,,,,,0.00690309610143235,0.893049958675558,0.429151083758661,1,-0.0179081783458712,,0.594430189551129,,0.000320702851667529,-0.621852249988361
KAPA RESEARCH,4,-0.361881410809574,0.190874282680517,-0.914637104299665,0.573228153621548,0.11118063255225,4,14.2776679790116,-0.114543032748247,0.727596372091329,0.0348375072549031,0.257401719876615,4,-0.0169147355188637,0.01450310629704,-0.316023379117045,0.387070580560929,0.000917128554462829,-0.362698838091971,4,0.0416262983307544,0.0335847749100483,0.61313206093442,0.336731016351464,0.0051165600299968,0.46137849690282,2,0.0199402853222414,0.0151332717330981,0.923900723747574,0.925742762514815,0.00062663089208018,1.0534595767868,4,-0.0107137771567699,0.00300113191636685,-0.295397713753283,0.127644275084807,0.000141805399303231,-0.260075977142457,4,0.00363580770758411,0.00143326144519437,0.061362309444595,0.361724543231523,1.93818127973699E-05,-0.661902688930627,1,0.0159147865529776,,0.68967405664362,,0.000253280431026836,0.659546283569139,1,-0.00679353353435366,,0.560098777073523,,4.61520978823877E-05,-0.661630345231609,4,-0.0219284277590065,0.0231796570631978,-0.322934593159131,0.325612079263492,0.00209274544868433,0.283820752430326,1,0.0026696207800409,,0.26312117970381,,7.12687510922621E-06,-0.776682072360366,3,-0.0040319855293957,0.00246385789422465,0.531751558351914,0.732924286191668,2.83980987551226E-05,-0.605680484353305,1,-0.000349187291953455,,-0.223989292648857,,1.21931764861788E-07,-0.805640736194105,,,,,,,,,,,,,,,,,,,,,,0.0512612626944313,0.819215230610454,0.36406810804647,,,,,,,
OPINION POLL,3,-0.35400591400012,-0.994379582455777,0.286367754455537,0.505213800938834,0.0670930762510513,3,14.8723660854229,-0.668747839806684,0.549394231994882,0.0179263821810091,0.715634638800547,3,0.0286454795769963,0.0121621598656268,0.611812196266911,0.550232408003999,0.00111639976539024,0.187156165942709,3,0.00842916864621363,0.0141255224956803,0.475444072399381,0.210188735176512,0.000470111655618249,0.137133823955625,,,,,,,,3,-0.00880363119123413,0.00371297437899413,-0.807734228016563,0.490485436995514,0.000105076279629404,0.308399141098995,3,-0.00795794624719041,0.0033887596506108,-0.340248918765105,0.472000520914044,8.62962924123876E-05,-0.236598322084042,,,,,,,,,,,,,,,3,-0.00257783741826652,0.0163751557066046,0.0566490505504768,0.642203591170178,0.000542936694586104,-0.0456163501017227,,,,,,,,3,-0.00244056199241998,0.00139475808377264,0.971048155454738,0.167823823489132,9.84704306334321E-06,-0.998761133945663,1,0.00184831860289526,,0.201706469757414,,3.41628165780867E-06,-0.70798323079551,2,-0.00728914595043821,0.00320293802388971,-0.565709152764272,0.537004599373285,6.33904606716683E-05,0.496505492650528,2,0.00504384602167702,0.00201171386016193,0.317478486993804,0.385532925435604,2.94873753455547E-05,0.0820565709129505,1,-0.00437731634535388,,-1.27478806455318,,1.91608983873023E-05,2.28943062865908,0.0323272145951476,1.5214166998069,0.239070036198486,1,-0.0319326727728588,,-2.07456232139959,,0.00101969559041848,2.29072075738176
ALCO,3,-0.0277087161955682,0.0994602724004344,-0.154877704791571,0.557751969137171,0.0274596892521526,7,14.9406537565466,-0.161448790937549,0.932677019620028,0.021191479207342,-0.524377542840014,7,0.00302184028878133,0.00988330242401746,-0.268618509824129,0.245580610969375,0.000595209519558438,-0.516007931774073,7,0.0192977510086803,0.0177157370643844,-0.408230366644242,0.207440441153838,0.00225548723239944,-0.402361585378028,3,0.00831781277217146,0.00582354652297704,-0.368562450610426,0.443667257079449,0.000137013397523455,-0.632920867699462,7,-0.00733026190072076,0.003570427937108,-0.278844686953522,0.398489945680157,0.000130220473457646,-0.111532107140455,7,-0.00516083245672712,0.00276211930314622,-0.541462277159908,0.296068995120118,7.24100099152857E-05,0.298985598652492,2,0.00424378250210568,0.00577050150797716,-0.708163138622693,0.489374485687467,5.13083775787451E-05,-0.80273188515719,2,-0.00741231674561886,0.00079295533802976,0.607116760804177,0.0245479284332786,5.55712177054916E-05,-0.641324375615507,7,-0.001456932039941,0.0105358922992692,1.01267174572419,0.164450901099646,0.000668152810219804,-0.0568159071361268,1,0.0104434809117581,,1.59648676180386,,0.000109066293554256,2.03546446879035,5,-0.00713729657160119,0.00188815032970465,-0.127506576740458,0.247082086973945,6.52014490212452E-05,-0.129120518275534,1,-0.00474579532274135,,-1.07569003759573,,2.25225732453537E-05,-0.141597499318537,2,0.00254873965436443,0.00881524146231901,0.598783195040131,1.61645881071352,8.42045558647179E-05,1.32926864817012,2,0.00208102949767807,0.00156354650143458,-0.689610329680416,0.218839121841734,6.77536143235455E-06,-0.966185194333131,1,-0.0015377584562203,,0.207105577587936,,2.36470106967703E-06,-0.984205025292007,0.0215412231517269,1.27876806250708,0.228816769085186,1,-0.024633221061338,,-0.685408362693926,,0.000606795579856747,0.570243048766501
PUBLIC ISSUE,3,0.0436072398698134,-0.700083049595483,0.78729752933511,0.687210491771797,0.526794679857164,2,13.7583549078734,-0.79443287882145,0.658003879124814,0.0117982048130116,-1.31642415711938,2,0.0160107760552713,0.0037153902551528,-0.925840548851018,1.01866651924668,0.000270149074640132,-1.228510782444,2,-0.0182374691660606,0.00553757346127662,0.571547096815177,1.4086717601567,0.000363270001422046,-0.708299806208135,2,0.000938232177427077,0.00107115603110445,0.140034618933038,0.316138167211225,2.02765486173099E-06,-0.640588331835675,2,0.0099451931695714,0.00692331196359655,1.34380838555733,1.05866932999716,0.000146839115725369,1.23171110792704,2,0.00719034815364593,0.00207803846407735,0.780850316691959,0.290488925165183,5.60193504288244E-05,-0.0739593479369703,2,0.00909807977279187,0.00520881445429795,0.00238560896374418,1.16420428965185,0.000109906803571388,0.0528469176402628,2,-0.0123553070035999,0.000297550649989238,-1.05561306360859,0.547314556782612,0.000152742147542513,1.06205960532582,2,-0.00781097498224178,0.00358213079066839,-0.271172617602277,0.395321232039117,7.38429911746615E-05,-0.325660089667751,1,-0.00955775635361065,,-1.83410768126449,,9.13507065149846E-05,1.54675433509653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032200597536739,2.19245613734345,0.767990246090677,,,,,,,
GPO,3,0.275677164925262,0.327654811830967,0.223699518019558,0.651003068635088,0.0645848308659668,5,15.7190715747043,-0.0318014866965297,0.958650647418634,0.0253763589388679,0.738167293708212,5,0.0163597628483833,0.016157439506832,0.796183571744021,0.312576247000995,0.00131189324612309,0.53993345588792,5,0.0291998196214876,0.0237530960103658,-0.0339954994479028,0.471398862487317,0.00310946774623803,-0.0992709448206248,2,-0.00358000008252956,0.00285864826562195,-0.564547056638935,0.295783893369705,2.0988270497455E-05,-0.2870824679142,5,-0.00125216829092579,0.0052764474211547,0.586665059349771,0.319653737659895,0.00011293151498164,-0.0271480290311292,5,-0.00224964319989797,0.00208365310449686,0.347235282734066,0.225601907010463,2.24273355663648E-05,-0.790528009618891,2,0.00413239918066482,0.00937776208025703,-0.716660806783946,1.03611005758059,0.000105019144622266,-0.315132403021362,2,-0.00588191496339945,0.00295914936805164,1.28859640150847,0.861969481156047,4.33534886191028E-05,-1.03522611638675,5,-0.0285349869431119,0.00714498865876133,-1.05277812607424,0.150799125040485,0.00101844893157888,1.02122789170021,1,-0.00269169299502137,,-0.656446595041817,,7.24521117944709E-06,-0.773417600425552,3,-0.00525185058198768,0.000417527559217141,0.414135557784499,0.238798296916113,2.79305930609359E-05,-0.625149615344782,,,,,,,,2,-0.00611945243980164,0.00144263081780631,-0.766560129545719,0.573156104296001,3.95288818394787E-05,0.334447800609811,2,0.00179687660275181,0.000959735870418806,-1.16334650253514,1.12826540368673,4.14985846648542E-06,-1.24980018855486,1,-0.00151105123136818,,0.221043404620459,,2.28327582381931E-06,-1.00007508105111,0.0440584339960236,1.48598586469571,0.302407729095573,1,-0.0185410444980377,,0.473989839322445,,0.000343770331078213,-0.525734344672662
METRON ANALYSIS,3,0.39776658598611,0.968598521037625,-0.173065349065405,0.224336662404087,0.0514099963257449,7,15.7439117362631,0.13750906641107,0.446639541387761,0.0217606850949471,-0.350712763429836,7,0.00238032371776074,0.0134692307405998,-0.439263614513763,0.313111691921196,0.00109418700146245,0.072306565414895,7,0.022906924388434,0.0148460516409051,-0.11217724533383,0.495647623447098,0.00184715868088395,-0.334539273081969,3,0.00208774932511528,0.00613831084206105,-1.36874814781676,0.502757684806024,7.97164172320478E-05,-0.520815784163259,7,-0.00784304461480095,0.00174297542710669,-0.436025612115847,0.342252643083898,7.97411288667448E-05,-0.0559689471175653,7,-0.0072904494979956,0.00416923900667622,-0.807222020426217,0.222205412476715,0.000157445977251568,0.322968734507143,2,0.0129957523646125,0.00437079077595246,0.615704218180979,0.297487532696452,0.000187993391529483,0.452880957884379,2,-0.00683532516519345,0.00030963226836816,0.705111900986318,0.289410349635487,4.68175422555417E-05,-0.663906668814276,7,-0.00485684143253767,0.00867892492727073,0.744661045206208,0.26041341905064,0.000475531336060021,-0.468036321947102,1,-0.00334966823944324,,-0.7693019243018,,1.12202773143348E-05,-0.663759642271733,5,-0.00803763672333388,0.00334118711344946,-0.395579721632163,0.667810797005948,0.000109257729404608,0.467201184443729,1,0.0104871313847376,,1.87519731320499,,0.000109979924680748,2.45098284202123,2,-0.001326596003519,0.000330976263723238,0.535640125372066,0.227594118827845,1.86940224370077E-06,-1.09912013197513,2,0.0100949240454453,0.00378159203595841,1.03728769377443,0.835195350237971,0.000116207929809733,1.27683561136173,1,-0.00115595309636684,,0.406360164883874,,1.33622756100009E-06,-1.18465798994109,0.025858190914141,1.26561528686089,0.317013940280947,1,-0.0185609728853344,,0.470197280758051,,0.00034450971445012,-0.522653471393546
PRORATA,2,0.561575848509136,0.630416071542395,0.492735625475878,0.857284439547754,0.176207180924182,5,17.3140716483317,0.52619473029416,1.72030900642758,0.0292841304090066,0.624806292232194,5,0.00163298509226854,0.0213022681002082,-0.373124569699102,0.556098349985942,0.00181781314516416,0.534499210927058,5,0.0142283916086567,0.0301492153512201,-0.868583595347327,0.586996731147469,0.00383834787294628,0.350716356011446,2,0.00648482855755038,0.00485546628852521,1.01376640350025,0.616815137745755,6.56285542998257E-05,0.235064074032652,5,-0.00333986737058971,0.00369292007399013,0.583704903744745,0.386452997419022,6.57053487446468E-05,-0.410124277670631,5,0.00350894051712715,0.0011787029542508,1.23454273539203,0.329510079657888,1.78700261701748E-05,-0.706254324950402,2,0.0158819671570296,0.00120105049129651,1.0459872915976,0.176448150822708,0.00025367940305961,1.2533750937724,2,-0.00894449907631827,0.000993455524173015,0.121038988619892,0.0365516759118684,8.09910176047683E-05,-0.252976039819682,5,-0.0152003853427579,0.0148227257645401,-0.160006639718349,0.378073384654467,0.00110990451093138,0.0925513461589522,1,0.00615642717454222,,0.861175114184292,,3.79015955554419E-05,0.0722831756057445,3,-0.00463268447326233,0.00372119762007575,0.343463493747277,1.13161982501436,4.91563888841207E-05,-0.20391727987675,1,-0.000593405020136995,,-0.271298586442299,,3.52129517923787E-07,-0.798816768175248,1,-0.00531608011113533,,-0.319161816875743,,2.82607077480086E-05,-0.631413220847313,1,0.00987391424054333,,1.14852365834616,,9.74941824296043E-05,0.927393657333751,1,-0.002995275740635,,-0.553535931201294,,8.97167676243653E-06,0.303516878874316,0.0214390498916127,1.66855287945527,0.532270783622631,,,,,,,
